part_number,display_name,name_cn,quantity,material,object_category,is_standard_part,is_structural_part,source_pdf,evidence
5536C10511G72,5号肋,5号肋,1,,前缘舱肋,False,True,MPL5536C10000G26.pdf,5536C10511G72  5号肋  1  
5536C10513G70,角片,角片,1,,,False,False,MPL5536C10000G26.pdf,5536C10513G70  角片  1  
5536C10514G70,角片,角片,1,,,False,False,MPL5536C10000G26.pdf,5536C10514G70  角片  1  
5536C10603G71,6号肋角材,6号肋角材,1,,角材,False,True,MPL5536C10000G26.pdf,5536C10603G71  6号肋角材  1  
5536C10611G72,6号肋,6号肋,1,,前缘舱肋,False,True,MPL5536C10000G26.pdf,5536C10611G72  6号肋  1  
5536C10613G70,角片,角片,1,,,False,False,MPL5536C10000G26.pdf,5536C10613G70  角片  1  
5536C10614G70,角片,角片,1,,,False,False,MPL5536C10000G26.pdf,5536C10614G70  角片  1  
5536C11001G41,左侧下封面板,左侧下封面板,1,,,False,False,MPL5536C10000G26.pdf,5536C11001G41  左侧下封面板  1  
5536C11002G41,右侧下封面板,右侧下封面板,1,,,False,False,MPL5536C10000G26.pdf,5536C11002G41  右侧下封面板  1  
5536C11003G41,左侧1号夹芯板,左侧1号夹芯板,1,,,False,False,MPL5536C10000G26.pdf,5536C11003G41  左侧1号夹芯板  1  
5536C11004G41,右侧1号夹芯板,右侧1号夹芯板,1,,,False,False,MPL5536C10000G26.pdf,5536C11004G41  右侧1号夹芯板  1  
5536C11005G41,左侧2号夹芯板,左侧2号夹芯板,1,,,False,False,MPL5536C10000G26.pdf,5536C11005G41  左侧2号夹芯板  1  
5536C11006G41,右侧2号夹芯板,右侧2号夹芯板,1,,,False,False,MPL5536C10000G26.pdf,5536C11006G41  右侧2号夹芯板  1  
5536C11007G41,左侧3号夹芯板,左侧3号夹芯板,1,,,False,False,MPL5536C10000G26.pdf,5536C11007G41  左侧3号夹芯板  1  
5536C11008G41,右侧3号夹芯板,右侧3号夹芯板,1,,,False,False,MPL5536C10000G26.pdf,5536C11008G41  右侧3号夹芯板   1  
5536C12000G42,辅助梁组件,辅助梁组件,1,,辅助梁,False,True,MPL5536C10000G26.pdf,5536C12000G42  辅助梁组件   1  
5536C14001G71,1号连接带板,1号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14001G71  1号连接带板   1  
5536C14002G71,1号连接带板,1号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14002G71  1号连接带板   1  
5536C14003G71,2号连接带板,2号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14003G71  2号连接带板   1  
5536C14004G71,2号连接带板,2号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14004G71  2号连接带板   1  
5536C14005G71,3号连接带板,3号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14005G71  3号连接带板   1  
5536C14006G71,3号连接带板,3号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14006G71  3号连接带板   1  
5536C14007G71,4号连接带板,4号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14007G71  4号连接带板   1  
5536C14008G71,4号连接带板,4号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14008G71  4号连接带板   1  
5536C14009G71,5号连接带板,5号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14009G71  5号连接带板   1  
5536C14010G71,5号连接带板,5号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14010G71  5号连接带板   1  
5536C14011G71,6号连接带板,6号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14011G71  6号连接带板   1  
5536C14012G71,6号连接带板,6号连接带板,1,,,False,False,MPL5536C10000G26.pdf,5536C14012G71  6号连接带板   1  
