[GraphPlan] fitness=158.17325574633114
01. SubAssembly_1_33_5536C12000G42_5536C12000G42_1 | 辅助梁组件
02. Part_1_38_5536C14005G71_5536C14005G71_1 | 3号连接带板
03. Part_1_39_5536C14006G71_5536C14006G71_1 | 3号连接带板
04. Part_1_41_5536C14008G71_5536C14008G71_1 | 4号连接带板
05. Part_1_40_5536C14007G71_5536C14007G71_1 | 4号连接带板
06. Part_1_42_5536C14009G71_5536C14009G72_1 | 5号连接带板
07. Part_1_43_5536C14010G71_5536C14010G72_1 | 5号连接带板
08. Part_1_45_5536C14012G71_5536C14012G71_1 | 6号连接带板
09. Part_1_44_5536C14011G71_5536C14011G71_1 | 6号连接带板
10. Part_1_22_5536C10611G72_5536C10611G72_1 | 6号肋
11. Part_1_18_5536C10511G72_5536C10511G72_1 | 5号肋
12. Part_1_14_5536C10411G72_5536C10411G72_1 | 4号肋
13. Part_1_10_5536C10311G72_5536C10311G72_1 | 3号肋
14. Part_1_6_5536C10211G71_5536C10211G71_1 | 2号肋
15. Part_1_2_5536C10101G71_5536C10101G71_1 | 1号肋
16. Part_1_4_5536C10105G71_5536C10105G71_1 | 1号肋
17. Part_1_35_5536C14002G71_5536C14002G70_1 | 1号连接带板
18. Part_1_3_5536C10103G71_5536C10103G71_1 | 1号肋角材
19. Part_1_34_5536C14001G71_5536C14001G70_1 | 1号连接带板
20. Part_1_5_5536C10203G71_5536C10203G71_1 | 2号肋角材
21. Part_1_7_5536C10213G70_5536C10213G70_1 | 2号肋缘条
22. Part_1_8_5536C10214G70_5536C10214G70_1 | 2号肋缘条
23. Part_1_37_5536C14004G71_5536C14004G70_1 | 2号连接带板
24. Part_1_36_5536C14003G71_5536C14003G70_1 | 2号连接带板
25. Part_1_9_5536C10303G71_5536C10303G71_1 | 3号肋角材
26. Part_1_11_5536C10313G70_5536C10313G70_1 | 角片
27. Part_1_12_5536C10314G70_5536C10314G70_1 | 角片
28. Part_1_13_5536C10403G71_5536C10403G71_1 | 4号肋角材
29. Part_1_15_5536C10413G72_5536C10413G72_1 | 4号肋缘条
30. Part_1_16_5536C10414G72_5536C10414G72_1 | 4号肋缘条
31. Part_1_20_5536C10514G70_5536C10514G70_1 | 角片
32. Part_1_19_5536C10513G70_5536C10513G70_1 | 角片
33. Part_1_17_5536C10503G71_5536C10503G70_1 | 5号肋角材
34. Part_1_21_5536C10603G71_5536C10603G71_1 | 6号肋角材
35. Part_1_24_5536C10614G70_5536C10614G70_1 | 角片
36. Part_1_23_5536C10613G70_5536C10613G70_1 | 角片
37. SubAssembly_1_31_5536C11007G41_5536C11007G41 | 左侧3号夹芯板
38. SubAssembly_1_32_5536C11008G41_5536C11008G41 | 右侧3号夹芯板
39. SubAssembly_1_30_5536C11006G41_5536C11006G41 | 右侧2号夹芯板
40. SubAssembly_1_29_5536C11005G41_5536C11005G41 | 左侧2号夹芯板
41. SubAssembly_1_27_5536C11003G41_5536C11003G41 | 左侧1号夹芯板
42. SubAssembly_1_28_5536C11004G41_5536C11004G41 | 右侧1号夹芯板
43. SubAssembly_1_26_5536C11002G41_5536C11002G41_1 | 右侧下封面板
44. SubAssembly_1_25_5536C11001G41_5536C11001G41_1 | 左侧下封面板

[PSO] fitness=116.61580596661148
01. SubAssembly_1_33_5536C12000G42_5536C12000G42_1 | 辅助梁组件
02. Part_1_35_5536C14002G71_5536C14002G70_1 | 1号连接带板
03. Part_1_38_5536C14005G71_5536C14005G71_1 | 3号连接带板
04. Part_1_39_5536C14006G71_5536C14006G71_1 | 3号连接带板
05. Part_1_10_5536C10311G72_5536C10311G72_1 | 3号肋
06. Part_1_12_5536C10314G70_5536C10314G70_1 | 角片
07. Part_1_37_5536C14004G71_5536C14004G70_1 | 2号连接带板
08. Part_1_36_5536C14003G71_5536C14003G70_1 | 2号连接带板
09. Part_1_6_5536C10211G71_5536C10211G71_1 | 2号肋
10. Part_1_4_5536C10105G71_5536C10105G71_1 | 1号肋
11. Part_1_2_5536C10101G71_5536C10101G71_1 | 1号肋
12. Part_1_3_5536C10103G71_5536C10103G71_1 | 1号肋角材
13. Part_1_34_5536C14001G71_5536C14001G70_1 | 1号连接带板
14. Part_1_5_5536C10203G71_5536C10203G71_1 | 2号肋角材
15. Part_1_8_5536C10214G70_5536C10214G70_1 | 2号肋缘条
16. Part_1_7_5536C10213G70_5536C10213G70_1 | 2号肋缘条
17. Part_1_9_5536C10303G71_5536C10303G71_1 | 3号肋角材
18. Part_1_11_5536C10313G70_5536C10313G70_1 | 角片
19. Part_1_14_5536C10411G72_5536C10411G72_1 | 4号肋
20. Part_1_13_5536C10403G71_5536C10403G71_1 | 4号肋角材
21. Part_1_16_5536C10414G72_5536C10414G72_1 | 4号肋缘条
22. Part_1_15_5536C10413G72_5536C10413G72_1 | 4号肋缘条
23. Part_1_41_5536C14008G71_5536C14008G71_1 | 4号连接带板
24. Part_1_18_5536C10511G72_5536C10511G72_1 | 5号肋
25. Part_1_17_5536C10503G71_5536C10503G70_1 | 5号肋角材
26. Part_1_20_5536C10514G70_5536C10514G70_1 | 角片
27. Part_1_19_5536C10513G70_5536C10513G70_1 | 角片
28. Part_1_40_5536C14007G71_5536C14007G71_1 | 4号连接带板
29. Part_1_42_5536C14009G71_5536C14009G72_1 | 5号连接带板
30. Part_1_43_5536C14010G71_5536C14010G72_1 | 5号连接带板
31. Part_1_22_5536C10611G72_5536C10611G72_1 | 6号肋
32. Part_1_21_5536C10603G71_5536C10603G71_1 | 6号肋角材
33. Part_1_23_5536C10613G70_5536C10613G70_1 | 角片
34. Part_1_24_5536C10614G70_5536C10614G70_1 | 角片
35. Part_1_45_5536C14012G71_5536C14012G71_1 | 6号连接带板
36. Part_1_44_5536C14011G71_5536C14011G71_1 | 6号连接带板
37. SubAssembly_1_31_5536C11007G41_5536C11007G41 | 左侧3号夹芯板
38. SubAssembly_1_32_5536C11008G41_5536C11008G41 | 右侧3号夹芯板
39. SubAssembly_1_29_5536C11005G41_5536C11005G41 | 左侧2号夹芯板
40. SubAssembly_1_30_5536C11006G41_5536C11006G41 | 右侧2号夹芯板
41. SubAssembly_1_25_5536C11001G41_5536C11001G41_1 | 左侧下封面板
42. SubAssembly_1_27_5536C11003G41_5536C11003G41 | 左侧1号夹芯板
43. SubAssembly_1_28_5536C11004G41_5536C11004G41 | 右侧1号夹芯板
44. SubAssembly_1_26_5536C11002G41_5536C11002G41_1 | 右侧下封面板

[GA] fitness=138.19626142306166
01. SubAssembly_1_33_5536C12000G42_5536C12000G42_1 | 辅助梁组件
02. Part_1_4_5536C10105G71_5536C10105G71_1 | 1号肋
03. Part_1_2_5536C10101G71_5536C10101G71_1 | 1号肋
04. Part_1_37_5536C14004G71_5536C14004G70_1 | 2号连接带板
05. Part_1_10_5536C10311G72_5536C10311G72_1 | 3号肋
06. Part_1_12_5536C10314G70_5536C10314G70_1 | 角片
07. Part_1_38_5536C14005G71_5536C14005G71_1 | 3号连接带板
