algorithm,runs,avg_guided_crossover_count,avg_guided_mutation_count,avg_knowledge_query_count,avg_repair_changed_count,guided_accept_rate_percent,avg_prescreen_reject_count,avg_initial_best_fitness,avg_direct_guide_attempt_count,avg_direct_guide_accept_count,avg_direct_guide_illegal_reject_count,avg_connect_candidate_count,avg_obb_fallback_count,avg_constraint_mutation_attempt_count,avg_constraint_mutation_accept_count,avg_constraint_mutation_shift_count,avg_constraint_mutation_reject_count,avg_no_repair_crossover_retry_count,avg_no_repair_illegal_child_count,avg_no_repair_valid_child_count,avg_no_repair_local_reject_count,avg_geometry_valid_initial_count,avg_geometry_invalid_initial_count,avg_geometry_valid_child_count,avg_geometry_invalid_child_count,avg_geometry_valid_neighbor_count,avg_geometry_invalid_neighbor_count
GA-no-connect,20,0,0,0,588.85,0.0,0,447.150966,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,20,0,3746.45,2163,2655.15,12.38,0,447.150966,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,20,0,3746.45,2163,2655.15,12.38,0,447.150966,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
