algorithm,runs,avg_guided_crossover_count,avg_guided_mutation_count,avg_knowledge_query_count,avg_repair_changed_count,guided_accept_rate_percent,avg_prescreen_reject_count,avg_initial_best_fitness,avg_direct_guide_attempt_count,avg_direct_guide_accept_count,avg_direct_guide_illegal_reject_count,avg_connect_candidate_count,avg_obb_fallback_count,avg_constraint_mutation_attempt_count,avg_constraint_mutation_accept_count,avg_constraint_mutation_shift_count,avg_constraint_mutation_reject_count,avg_no_repair_crossover_retry_count,avg_no_repair_illegal_child_count,avg_no_repair_valid_child_count,avg_no_repair_local_reject_count,avg_geometry_valid_initial_count,avg_geometry_invalid_initial_count,avg_geometry_valid_child_count,avg_geometry_invalid_child_count,avg_geometry_valid_neighbor_count,avg_geometry_invalid_neighbor_count
DRL,3,0,471.667,142,82.667,77.29,0,517.645789,0,0,0,0,0,73.333,73.333,38,0,0,0,0,0,0,0,0,0,0,0
KG-IGA,3,0,529.333,513,469,19.69,0,517.645789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RL,3,0,490,166,93.333,41.87,0,517.645789,0,0,0,0,0,93.333,93.333,48.667,0,0,0,0,0,0,0,0,0,0,0
